Código ,Descripción ,Rule,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
99082,"UNUSUAL TRAVEL (EG, TRANSPORTATION AND ESCORT OF PATIENT)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99090,"ANALYSIS OF CLINICAL DATA STORED IN COMPUTERS (EG, ECGS, BLOOD PRESSURES, HEMATOLOGIC DATA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99091,"COLLECTION AND INTERPRETATION OF PHYSIOLOGIC DATA (EG, ECG, BLOOD PRESSURE, GLUCOSE MONITORING) DIGITALLY STORED AND/OR TRANSMITTED BY THE PATIENT AND/OR CAREGIVER TO THE PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL, QUALIFIED BY EDUCATION, TRAINING, LICENSURE/REGULATION (WHEN APPLICABLE) REQUIRING A MINIMUM OF 30 MINUTES OF TIME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99100,"ANESTHESIA FOR PATIENT OF EXTREME AGE, YOUNGER THAN 1 YEAR AND OLDER THAN 70 (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY ANESTHESIA PROCEDURE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99116,ANESTHESIA COMPLICATED BY UTILIZATION OF TOTAL BODY HYPOTHERMIA (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY ANESTHESIA PROCEDURE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99135,ANESTHESIA COMPLICATED BY UTILIZATION OF CONTROLLED HYPOTENSION (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY ANESTHESIA PROCEDURE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99140,ANESTHESIA COMPLICATED BY EMERGENCY CONDITIONS (SPECIFY) (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY ANESTHESIA PROCEDURE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99151,"MODERATE SEDATION SERVICES PROVIDED BY THE SAME PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL PERFORMING THE DIAGNOSTIC OR THERAPEUTIC SERVICE THAT THE SEDATION SUPPORTS, REQUIRING THE PRESENCE OF AN INDEPENDENT TRAINED OBSERVER TO ASSIST IN THE MONITORING OF THE PATIENT'S LEVEL OF CONSCIOUSNESS AND PHYSIOLOGICAL STATUS; INITIAL 15 MINUTES OF INTRASERVICE TIME, PATIENT YOUNGER THAN 5 YEARS OF AGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99152,"MODERATE SEDATION SERVICES PROVIDED BY THE SAME PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL PERFORMING THE DIAGNOSTIC OR THERAPEUTIC SERVICE THAT THE SEDATION SUPPORTS, REQUIRING THE PRESENCE OF AN INDEPENDENT TRAINED OBSERVER TO ASSIST IN THE MONITORING OF THE PATIENT'S LEVEL OF CONSCIOUSNESS AND PHYSIOLOGICAL STATUS; INITIAL 15 MINUTES OF INTRASERVICE TIME, PATIENT AGE 5 YEARS OR OLDER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99153,"MODERATE SEDATION SERVICES PROVIDED BY THE SAME PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL PERFORMING THE DIAGNOSTIC OR THERAPEUTIC SERVICE THAT THE SEDATION SUPPORTS, REQUIRING THE PRESENCE OF AN INDEPENDENT TRAINED OBSERVER TO ASSIST IN THE MONITORING OF THE PATIENT'S LEVEL OF CONSCIOUSNESS AND PHYSIOLOGICAL STATUS; EACH ADDITIONAL 15 MINUTES INTRASERVICE TIME (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY SERVICE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99155,"MODERATE SEDATION SERVICES PROVIDED BY A PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL OTHER THAN THE PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL PERFORMING THE DIAGNOSTIC OR THERAPEUTIC SERVICE THAT THE SEDATION SUPPORTS; INITIAL 15 MINUTES OF INTRASERVICE TIME, PATIENT YOUNGER THAN 5 YEARS OF AGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99156,"MODERATE SEDATION SERVICES PROVIDED BY A PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL OTHER THAN THE PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL PERFORMING THE DIAGNOSTIC OR THERAPEUTIC SERVICE THAT THE SEDATION SUPPORTS; INITIAL 15 MINUTES OF INTRASERVICE TIME, PATIENT AGE 5 YEARS OR OLDER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99157,MODERATE SEDATION SERVICES PROVIDED BY A PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL OTHER THAN THE PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL PERFORMING THE DIAGNOSTIC OR THERAPEUTIC SERVICE THAT THE SEDATION SUPPORTS; EACH ADDITIONAL 15 MINUTES INTRASERVICE TIME (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY SERVICE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99170,"ANOGENITAL EXAMINATION, MAGNIFIED, IN CHILDHOOD FOR SUSPECTED TRAUMA, INCLUDING IMAGE RECORDING WHEN PERFORMED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99172,"VISUAL FUNCTION SCREENING, AUTOMATED OR SEMI-AUTOMATED BILATERAL QUANTITATIVE DETERMINATION OF VISUAL ACUITY, OCULAR ALIGNMENT, COLOR VISION BY PSEUDOISOCHROMATIC PLATES, AND FIELD OF VISION (MAY INCLUDE ALL OR SOME SCREENING OF THE DETERMINATION[S] FOR CONTRAST SENSITIVITY, VISION UNDER GLARE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99173,"SCREENING TEST OF VISUAL ACUITY, QUANTITATIVE, BILATERAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99174,"INSTRUMENT-BASED OCULAR SCREENING (EG, PHOTOSCREENING, AUTOMATED-REFRACTION), BILATERAL; WITH REMOTE ANALYSIS AND REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99175,IPECAC OR SIMILAR ADMINISTRATION FOR INDIVIDUAL EMESIS AND CONTINUED OBSERVATION UNTIL STOMACH ADEQUATELY EMPTIED OF POISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99177,"INSTRUMENT-BASED OCULAR SCREENING (EG, PHOTOSCREENING, AUTOMATED-REFRACTION), BILATERAL; WITH ON-SITE ANALYSIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99183,"PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL ATTENDANCE AND SUPERVISION OF HYPERBARIC OXYGEN THERAPY, PER SESSION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99184,"INITIATION OF SELECTIVE HEAD OR TOTAL BODY HYPOTHERMIA IN THE CRITICALLY ILL NEONATE, INCLUDES APPROPRIATE PATIENT SELECTION BY REVIEW OF CLINICAL, IMAGING AND LABORATORY DATA, CONFIRMATION OF ESOPHAGEAL TEMPERATURE PROBE LOCATION, EVALUATION OF AMPLITUDE EEG, SUPERVISION OF CONTROLLED HYPOTHERMIA, AND ASSESSMENT OF PATIENT TOLERANCE OF COOLING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99188,APPLICATION OF TOPICAL FLUORIDE VARNISH BY A PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99190,ASSEMBLY AND OPERATION OF PUMP WITH OXYGENATOR OR HEAT EXCHANGER (WITH OR WITHOUT ECG AND/OR PRESSURE MONITORING); EACH HOUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99191,ASSEMBLY AND OPERATION OF PUMP WITH OXYGENATOR OR HEAT EXCHANGER (WITH OR WITHOUT ECG AND/OR PRESSURE MONITORING); 45 MINUTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99192,ASSEMBLY AND OPERATION OF PUMP WITH OXYGENATOR OR HEAT EXCHANGER (WITH OR WITHOUT ECG AND/OR PRESSURE MONITORING); 30 MINUTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99195,"PHLEBOTOMY, THERAPEUTIC (SEPARATE PROCEDURE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99199,"UNLISTED SPECIAL SERVICE, PROCEDURE OR REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99201,"OFFICE OR OTHER OUTPATIENT VISIT FOR THE EVALUATION AND MANAGEMENT OF A NEW PATIENT, WHICH REQUIRES THESE 3 KEY COMPONENTS: A PROBLEM FOCUSED HISTORY; A PROBLEM FOCUSED EXAMINATION; STRAIGHTFORWARD MEDICAL DECISION MAKING. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE SELF LIMITED OR MINOR. TYPICALLY, 10 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY.",8,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99202,"OFFICE OR OTHER OUTPATIENT VISIT FOR THE EVALUATION AND MANAGEMENT OF A NEW PATIENT, WHICH REQUIRES THESE 3 KEY COMPONENTS: AN EXPANDED PROBLEM FOCUSED HISTORY; AN EXPANDED PROBLEM FOCUSED EXAMINATION; STRAIGHTFORWARD MEDICAL DECISION MAKING. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE OF LOW TO MODERATE SEVERITY. TYPICALLY, 20 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY.",8,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99203,"OFFICE OR OTHER OUTPATIENT VISIT FOR THE EVALUATION AND MANAGEMENT OF A NEW PATIENT, WHICH REQUIRES THESE 3 KEY COMPONENTS: A DETAILED HISTORY; A DETAILED EXAMINATION; MEDICAL DECISION MAKING OF LOW COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE OF MODERATE SEVERITY. TYPICALLY, 30 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY.",8,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99204,"OFFICE OR OTHER OUTPATIENT VISIT FOR THE EVALUATION AND MANAGEMENT OF A NEW PATIENT, WHICH REQUIRES THESE 3 KEY COMPONENTS: A COMPREHENSIVE HISTORY; A COMPREHENSIVE EXAMINATION; MEDICAL DECISION MAKING OF MODERATE COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE OF MODERATE TO HIGH SEVERITY. TYPICALLY, 45 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY.",8,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99205,"OFFICE OR OTHER OUTPATIENT VISIT FOR THE EVALUATION AND MANAGEMENT OF A NEW PATIENT, WHICH REQUIRES THESE 3 KEY COMPONENTS: A COMPREHENSIVE HISTORY; A COMPREHENSIVE EXAMINATION; MEDICAL DECISION MAKING OF HIGH COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE OF MODERATE TO HIGH SEVERITY. TYPICALLY, 60 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY.",8,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99211,"OFFICE OR OTHER OUTPATIENT VISIT FOR THE EVALUATION AND MANAGEMENT OF AN ESTABLISHED PATIENT, THAT MAY NOT REQUIRE THE PRESENCE OF A PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL. USUALLY, THE PRESENTING PROBLEM(S) ARE MINIMAL. TYPICALLY, 5 MINUTES ARE SPENT PERFORMING OR SUPERVISING THESE SERVICES.",8,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99212,"OFFICE OR OTHER OUTPATIENT VISIT FOR THE EVALUATION AND MANAGEMENT OF AN ESTABLISHED PATIENT, WHICH REQUIRES AT LEAST 2 OF THESE 3 KEY COMPONENTS: A PROBLEM FOCUSED HISTORY; A PROBLEM FOCUSED EXAMINATION; STRAIGHTFORWARD MEDICAL DECISION MAKING. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE SELF LIMITED OR MINOR. TYPICALLY, 10 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY.",8,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99213,"OFFICE OR OTHER OUTPATIENT VISIT FOR THE EVALUATION AND MANAGEMENT OF AN ESTABLISHED PATIENT, WHICH REQUIRES AT LEAST 2 OF THESE 3 KEY COMPONENTS: AN EXPANDED PROBLEM FOCUSED HISTORY; AN EXPANDED PROBLEM FOCUSED EXAMINATION; MEDICAL DECISION MAKING OF LOW COMPLEXITY. COUNSELING AND COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE OF LOW TO MODERATE SEVERITY. TYPICALLY, 15 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY.",8,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99214,"OFFICE OR OTHER OUTPATIENT VISIT FOR THE EVALUATION AND MANAGEMENT OF AN ESTABLISHED PATIENT, WHICH REQUIRES AT LEAST 2 OF THESE 3 KEY COMPONENTS: A DETAILED HISTORY; A DETAILED EXAMINATION; MEDICAL DECISION MAKING OF MODERATE COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE OF MODERATE TO HIGH SEVERITY. TYPICALLY, 25 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY.",8,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99215,"OFFICE OR OTHER OUTPATIENT VISIT FOR THE EVALUATION AND MANAGEMENT OF AN ESTABLISHED PATIENT, WHICH REQUIRES AT LEAST 2 OF THESE 3 KEY COMPONENTS: A COMPREHENSIVE HISTORY; A COMPREHENSIVE EXAMINATION; MEDICAL DECISION MAKING OF HIGH COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE OF MODERATE TO HIGH SEVERITY. TYPICALLY, 40 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY.",8,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99217,"OBSERVATION CARE DISCHARGE DAY MANAGEMENT (THIS CODE IS TO BE UTILIZED TO REPORT ALL SERVICES PROVIDED TO A PATIENT ON DISCHARGE FROM OUTPATIENT HOSPITAL ""OBSERVATION STATUS"" IF THE DISCHARGE IS ON OTHER THAN THE INITIAL DATE OF ""OBSERVATION STATUS."" TO REPORT SERVICES TO A PATIENT DESIGNATED AS ""OBSERVATION STATUS"" OR ""INPATIENT STATUS"" AND DISCHARGED ON THE SAME DATE, USE THE CODES FOR OBSERVATION OR INPATIENT CARE SERVICES [INCLUDING ADMISSION AND DISCHARGE SERVICES, 99234-99236 AS APPROPRIATE.])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99218,"INITIAL OBSERVATION CARE, PER DAY, FOR THE EVALUATION AND MANAGEMENT OF A PATIENT WHICH REQUIRES THESE 3 KEY COMPONENTS: A DETAILED OR COMPREHENSIVE HISTORY; A DETAILED OR COMPREHENSIVE EXAMINATION; AND MEDICAL DECISION MAKING THAT IS STRAIGHTFORWARD OR OF LOW COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PROBLEM(S) REQUIRING ADMISSION TO OUTPATIENT HOSPITAL ""OBSERVATION STATUS"" ARE OF LOW SEVERITY. TYPICALLY, 30 MINUTES ARE SPENT AT THE BEDSIDE AND ON THE PATIENT'S HOSPITAL FLOOR OR UNIT.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99219,"INITIAL OBSERVATION CARE, PER DAY, FOR THE EVALUATION AND MANAGEMENT OF A PATIENT, WHICH REQUIRES THESE 3 KEY COMPONENTS: A COMPREHENSIVE HISTORY; A COMPREHENSIVE EXAMINATION; AND MEDICAL DECISION MAKING OF MODERATE COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PROBLEM(S) REQUIRING ADMISSION TO OUTPATIENT HOSPITAL ""OBSERVATION STATUS"" ARE OF MODERATE SEVERITY. TYPICALLY, 50 MINUTES ARE SPENT AT THE BEDSIDE AND ON THE PATIENT'S HOSPITAL FLOOR OR UNIT.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99220,"INITIAL OBSERVATION CARE, PER DAY, FOR THE EVALUATION AND MANAGEMENT OF A PATIENT, WHICH REQUIRES THESE 3 KEY COMPONENTS: A COMPREHENSIVE HISTORY; A COMPREHENSIVE EXAMINATION; AND MEDICAL DECISION MAKING OF HIGH COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PROBLEM(S) REQUIRING ADMISSION TO OUTPATIENT HOSPITAL ""OBSERVATION STATUS"" ARE OF HIGH SEVERITY. TYPICALLY, 70 MINUTES ARE SPENT AT THE BEDSIDE AND ON THE PATIENT'S HOSPITAL FLOOR OR UNIT.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99221,"INITIAL HOSPITAL CARE, PER DAY, FOR THE EVALUATION AND MANAGEMENT OF A PATIENT, WHICH REQUIRES THESE 3 KEY COMPONENTS: A DETAILED OR COMPREHENSIVE HISTORY; A DETAILED OR COMPREHENSIVE EXAMINATION; AND MEDICAL DECISION MAKING THAT IS STRAIGHTFORWARD OR OF LOW COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PROBLEM(S) REQUIRING ADMISSION ARE OF LOW SEVERITY. TYPICALLY, 30 MINUTES ARE SPENT AT THE BEDSIDE AND ON THE PATIENT'S HOSPITAL FLOOR OR UNIT.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99222,"INITIAL HOSPITAL CARE, PER DAY, FOR THE EVALUATION AND MANAGEMENT OF A PATIENT, WHICH REQUIRES THESE 3 KEY COMPONENTS: A COMPREHENSIVE HISTORY; A COMPREHENSIVE EXAMINATION; AND MEDICAL DECISION MAKING OF MODERATE COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PROBLEM(S) REQUIRING ADMISSION ARE OF MODERATE SEVERITY. TYPICALLY, 50 MINUTES ARE SPENT AT THE BEDSIDE AND ON THE PATIENT'S HOSPITAL FLOOR OR UNIT.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99223,"INITIAL HOSPITAL CARE, PER DAY, FOR THE EVALUATION AND MANAGEMENT OF A PATIENT, WHICH REQUIRES THESE 3 KEY COMPONENTS: A COMPREHENSIVE HISTORY; A COMPREHENSIVE EXAMINATION; AND MEDICAL DECISION MAKING OF HIGH COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PROBLEM(S) REQUIRING ADMISSION ARE OF HIGH SEVERITY. TYPICALLY, 70 MINUTES ARE SPENT AT THE BEDSIDE AND ON THE PATIENT'S HOSPITAL FLOOR OR UNIT.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99224,"SUBSEQUENT OBSERVATION CARE, PER DAY, FOR THE EVALUATION AND MANAGEMENT OF A PATIENT, WHICH REQUIRES AT LEAST 2 OF THESE 3 KEY COMPONENTS: PROBLEM FOCUSED INTERVAL HISTORY; PROBLEM FOCUSED EXAMINATION; MEDICAL DECISION MAKING THAT IS STRAIGHTFORWARD OR OF LOW COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PATIENT IS STABLE, RECOVERING, OR IMPROVING. TYPICALLY, 15 MINUTES ARE SPENT AT THE BEDSIDE AND ON THE PATIENT'S HOSPITAL FLOOR OR UNIT.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99225,"SUBSEQUENT OBSERVATION CARE, PER DAY, FOR THE EVALUATION AND MANAGEMENT OF A PATIENT, WHICH REQUIRES AT LEAST 2 OF THESE 3 KEY COMPONENTS: AN EXPANDED PROBLEM FOCUSED INTERVAL HISTORY; AN EXPANDED PROBLEM FOCUSED EXAMINATION; MEDICAL DECISION MAKING OF MODERATE COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PATIENT IS RESPONDING INADEQUATELY TO THERAPY OR HAS DEVELOPED A MINOR COMPLICATION. TYPICALLY, 25 MINUTES ARE SPENT AT THE BEDSIDE AND ON THE PATIENT'S HOSPITAL FLOOR OR UNIT.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99226,"SUBSEQUENT OBSERVATION CARE, PER DAY, FOR THE EVALUATION AND MANAGEMENT OF A PATIENT, WHICH REQUIRES AT LEAST 2 OF THESE 3 KEY COMPONENTS: A DETAILED INTERVAL HISTORY; A DETAILED EXAMINATION; MEDICAL DECISION MAKING OF HIGH COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PATIENT IS UNSTABLE OR HAS DEVELOPED A SIGNIFICANT COMPLICATION OR A SIGNIFICANT NEW PROBLEM. TYPICALLY, 35 MINUTES ARE SPENT AT THE BEDSIDE AND ON THE PATIENT'S HOSPITAL FLOOR OR UNIT.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
